state_name,gdp,gdp_capita,state.y,population,population_density
Alabama,224870.6,45.691,AL,5024279,37
Alaska,50246.7,68.722,AK,73339,1
Arizona,372461,50.187,AZ,7151502,23
Arkansas,129073.9,42.591,AR,3011524,22
California,3091871.5,78.538,CA,39538223,97
Colorado,390098.7,67.169,CO,5773714,20
Connecticut,280900.3,78.971,CT,3605944,286
Delaware,75512.5,76.522,DE,98995,187
District of Columbia,143532.7,201.36,DC,68955,4251
Florida,1095888.2,50.424,FL,21538187,145
Georgia,619240,57.819,GA,10711908,68
Hawaii,89856.2,63.863,HI,1455271,86
Idaho,84032.2,45.997,ID,1839106,7
Illinois,863516.7,68.601,IL,12812508,89
Indiana,372636.7,55.165,IN,6785528,71
Iowa,192710.2,60.916,IA,3190369,21
Kansas,173298.3,59.475,KS,2937880,14
Kentucky,210024.2,46.909,KY,4505836,43
Louisiana,241990.8,52.093,LA,4657757,41
Maine,66196,49.029,ME,1362359,16
Maryland,422726.4,69.805,MD,6177224,238
Massachusetts,584039,84.722,MA,7029917,336
Michigan,515928.3,51.766,MI,10077331,67
Minnesota,374351.8,66.171,MN,5706494,26
Mississippi,114200.6,38.493,MS,2961279,24
Missouri,321708.8,52.297,MO,6154913,34
Montana,51488.7,47.649,MT,1084225,2
Nebraska,128808.7,66.48,NE,1961504,9
Nevada,172597.6,54.998,NV,3104614,10
New Hampshire,85109.3,62.293,NH,1377529,57
New Jersey,619061.1,69.695,NJ,9288994,470
New Mexico,100310.1,47.623,NM,2117522,6
New York,1699044.7,87.866,NY,20201249,162
North Carolina,586136.2,55.292,NC,10439388,79
North Dakota,54032.9,70.603,ND,77909,4
Ohio,675037.3,57.729,OH,11799448,109
Oklahoma,186581.4,46.871,OK,3959353,22
Oregon,250458.5,59.049,OR,4237256,16
Pennsylvania,780176.1,61.031,PA,13002700,110
Rhode Island,60224.7,56.97,RI,1097379,394
South Carolina,241688.7,46.318,SC,5118425,62
South Dakota,54852.1,61.444,SD,88667,4
Tennessee,364485.9,52.925,TN,6910840,61
Texas,1759734.4,59.935,TX,29145505,40
Utah,194985.8,59.998,UT,3271616,14
Vermont,32796.7,52.614,VT,64308,26
Virginia,551760.3,64.229,VA,8631393,81
Washington,618704.9,80.418,WA,7705281,41
West Virginia,73709.2,41.299,WV,1793716,29
Wisconsin,338678.4,58.066,WI,5893718,41
Wyoming,36241.5,62.236,WY,57685,2
